driver,driver_label,scenario,year,value,rationale
revenue_growth_pct,Revenue growth %,base,2026,0.13,"Starts near the FY24-25 average growth rate (~14.1%), decelerating to 7% by year 5 - typical maturation curve for a scaling DTC retailer, consistent with WRBY's own deceleration from 15.2% (FY24) to 13.0% (FY25)."
revenue_growth_pct,Revenue growth %,base,2027,0.115,"Starts near the FY24-25 average growth rate (~14.1%), decelerating to 7% by year 5 - typical maturation curve for a scaling DTC retailer, consistent with WRBY's own deceleration from 15.2% (FY24) to 13.0% (FY25)."
revenue_growth_pct,Revenue growth %,base,2028,0.1,"Starts near the FY24-25 average growth rate (~14.1%), decelerating to 7% by year 5 - typical maturation curve for a scaling DTC retailer, consistent with WRBY's own deceleration from 15.2% (FY24) to 13.0% (FY25)."
revenue_growth_pct,Revenue growth %,base,2029,0.085,"Starts near the FY24-25 average growth rate (~14.1%), decelerating to 7% by year 5 - typical maturation curve for a scaling DTC retailer, consistent with WRBY's own deceleration from 15.2% (FY24) to 13.0% (FY25)."
revenue_growth_pct,Revenue growth %,base,2030,0.07,"Starts near the FY24-25 average growth rate (~14.1%), decelerating to 7% by year 5 - typical maturation curve for a scaling DTC retailer, consistent with WRBY's own deceleration from 15.2% (FY24) to 13.0% (FY25)."
revenue_growth_pct,Revenue growth %,best,2026,0.15,"Holds near FY24's peak growth rate (15.2%) and decelerates more slowly - new store productivity and category expansion (contacts, exams) sustain growth longer."
revenue_growth_pct,Revenue growth %,best,2027,0.14,"Holds near FY24's peak growth rate (15.2%) and decelerates more slowly - new store productivity and category expansion (contacts, exams) sustain growth longer."
revenue_growth_pct,Revenue growth %,best,2028,0.13,"Holds near FY24's peak growth rate (15.2%) and decelerates more slowly - new store productivity and category expansion (contacts, exams) sustain growth longer."
revenue_growth_pct,Revenue growth %,best,2029,0.12,"Holds near FY24's peak growth rate (15.2%) and decelerates more slowly - new store productivity and category expansion (contacts, exams) sustain growth longer."
revenue_growth_pct,Revenue growth %,best,2030,0.11,"Holds near FY24's peak growth rate (15.2%) and decelerates more slowly - new store productivity and category expansion (contacts, exams) sustain growth longer."
revenue_growth_pct,Revenue growth %,worst,2026,0.08,"Growth roughly halves from the FY25 rate immediately - reflects competitive/macro pressure on discretionary eyewear spend, decelerating to GDP-like growth by year 5."
revenue_growth_pct,Revenue growth %,worst,2027,0.0675,"Growth roughly halves from the FY25 rate immediately - reflects competitive/macro pressure on discretionary eyewear spend, decelerating to GDP-like growth by year 5."
revenue_growth_pct,Revenue growth %,worst,2028,0.055,"Growth roughly halves from the FY25 rate immediately - reflects competitive/macro pressure on discretionary eyewear spend, decelerating to GDP-like growth by year 5."
revenue_growth_pct,Revenue growth %,worst,2029,0.0425,"Growth roughly halves from the FY25 rate immediately - reflects competitive/macro pressure on discretionary eyewear spend, decelerating to GDP-like growth by year 5."
revenue_growth_pct,Revenue growth %,worst,2030,0.03,"Growth roughly halves from the FY25 rate immediately - reflects competitive/macro pressure on discretionary eyewear spend, decelerating to GDP-like growth by year 5."
gross_margin_pct,Gross margin %,base,2026,0.545,"Roughly flat at the FY25 level (54.0%) trending toward the 3-year average (54.6%) - gross margin has been range-bound 54-59% since FY21 with no clear directional trend, so flat is the defensible default."
gross_margin_pct,Gross margin %,base,2027,0.54625,"Roughly flat at the FY25 level (54.0%) trending toward the 3-year average (54.6%) - gross margin has been range-bound 54-59% since FY21 with no clear directional trend, so flat is the defensible default."
gross_margin_pct,Gross margin %,base,2028,0.5475,"Roughly flat at the FY25 level (54.0%) trending toward the 3-year average (54.6%) - gross margin has been range-bound 54-59% since FY21 with no clear directional trend, so flat is the defensible default."
gross_margin_pct,Gross margin %,base,2029,0.54875,"Roughly flat at the FY25 level (54.0%) trending toward the 3-year average (54.6%) - gross margin has been range-bound 54-59% since FY21 with no clear directional trend, so flat is the defensible default."
gross_margin_pct,Gross margin %,base,2030,0.55,"Roughly flat at the FY25 level (54.0%) trending toward the 3-year average (54.6%) - gross margin has been range-bound 54-59% since FY21 with no clear directional trend, so flat is the defensible default."
gross_margin_pct,Gross margin %,best,2026,0.55,Gradual improvement via mix shift toward higher-margin lens/exam revenue and supply chain efficiency at scale.
gross_margin_pct,Gross margin %,best,2027,0.555,Gradual improvement via mix shift toward higher-margin lens/exam revenue and supply chain efficiency at scale.
gross_margin_pct,Gross margin %,best,2028,0.56,Gradual improvement via mix shift toward higher-margin lens/exam revenue and supply chain efficiency at scale.
gross_margin_pct,Gross margin %,best,2029,0.565,Gradual improvement via mix shift toward higher-margin lens/exam revenue and supply chain efficiency at scale.
gross_margin_pct,Gross margin %,best,2030,0.57,Gradual improvement via mix shift toward higher-margin lens/exam revenue and supply chain efficiency at scale.
gross_margin_pct,Gross margin %,worst,2026,0.535,Continued compression from FY21's 58.8% peak - input cost inflation and promotional intensity outpace efficiency gains.
gross_margin_pct,Gross margin %,worst,2027,0.52875,Continued compression from FY21's 58.8% peak - input cost inflation and promotional intensity outpace efficiency gains.
gross_margin_pct,Gross margin %,worst,2028,0.5225,Continued compression from FY21's 58.8% peak - input cost inflation and promotional intensity outpace efficiency gains.
gross_margin_pct,Gross margin %,worst,2029,0.51625,Continued compression from FY21's 58.8% peak - input cost inflation and promotional intensity outpace efficiency gains.
gross_margin_pct,Gross margin %,worst,2030,0.51,Continued compression from FY21's 58.8% peak - input cost inflation and promotional intensity outpace efficiency gains.
sga_pct_revenue,SG&A % of revenue,base,2026,0.535,Continues improving from FY25's 54.6% but at a decelerating pace - the FY21-25 improvement (85.3% -> 54.6%) can't repeat at the same rate; diminishing returns to operating leverage as the store base matures.
sga_pct_revenue,SG&A % of revenue,base,2027,0.52125,Continues improving from FY25's 54.6% but at a decelerating pace - the FY21-25 improvement (85.3% -> 54.6%) can't repeat at the same rate; diminishing returns to operating leverage as the store base matures.
sga_pct_revenue,SG&A % of revenue,base,2028,0.5075,Continues improving from FY25's 54.6% but at a decelerating pace - the FY21-25 improvement (85.3% -> 54.6%) can't repeat at the same rate; diminishing returns to operating leverage as the store base matures.
sga_pct_revenue,SG&A % of revenue,base,2029,0.49375,Continues improving from FY25's 54.6% but at a decelerating pace - the FY21-25 improvement (85.3% -> 54.6%) can't repeat at the same rate; diminishing returns to operating leverage as the store base matures.
sga_pct_revenue,SG&A % of revenue,base,2030,0.48,Continues improving from FY25's 54.6% but at a decelerating pace - the FY21-25 improvement (85.3% -> 54.6%) can't repeat at the same rate; diminishing returns to operating leverage as the store base matures.
sga_pct_revenue,SG&A % of revenue,best,2026,0.53,Operating leverage continues at closer to the recent pace - marketing efficiency and corporate overhead leverage both improve further as revenue scales.
sga_pct_revenue,SG&A % of revenue,best,2027,0.5075,Operating leverage continues at closer to the recent pace - marketing efficiency and corporate overhead leverage both improve further as revenue scales.
sga_pct_revenue,SG&A % of revenue,best,2028,0.485,Operating leverage continues at closer to the recent pace - marketing efficiency and corporate overhead leverage both improve further as revenue scales.
sga_pct_revenue,SG&A % of revenue,best,2029,0.4625,Operating leverage continues at closer to the recent pace - marketing efficiency and corporate overhead leverage both improve further as revenue scales.
sga_pct_revenue,SG&A % of revenue,best,2030,0.44,Operating leverage continues at closer to the recent pace - marketing efficiency and corporate overhead leverage both improve further as revenue scales.
sga_pct_revenue,SG&A % of revenue,worst,2026,0.545,"Leverage gains stall entirely, holding flat at the FY25 level - rising marketing costs to defend growth offset any further corporate overhead leverage."
sga_pct_revenue,SG&A % of revenue,worst,2027,0.545,"Leverage gains stall entirely, holding flat at the FY25 level - rising marketing costs to defend growth offset any further corporate overhead leverage."
sga_pct_revenue,SG&A % of revenue,worst,2028,0.545,"Leverage gains stall entirely, holding flat at the FY25 level - rising marketing costs to defend growth offset any further corporate overhead leverage."
sga_pct_revenue,SG&A % of revenue,worst,2029,0.545,"Leverage gains stall entirely, holding flat at the FY25 level - rising marketing costs to defend growth offset any further corporate overhead leverage."
sga_pct_revenue,SG&A % of revenue,worst,2030,0.545,"Leverage gains stall entirely, holding flat at the FY25 level - rising marketing costs to defend growth offset any further corporate overhead leverage."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),base,2026,0.08,"NOT extrapolated from the historical ratio (economically meaningless in pretax-loss years - see FY25's 46% distortion). Modeled instead as a ramp: low cash tax rate while NOL carryforwards offset newly-positive income, rising toward a normalized ~24% effective rate (below the 21% federal statutory + state blend, since some NOL shield likely remains through year 5)."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),base,2027,0.12,"NOT extrapolated from the historical ratio (economically meaningless in pretax-loss years - see FY25's 46% distortion). Modeled instead as a ramp: low cash tax rate while NOL carryforwards offset newly-positive income, rising toward a normalized ~24% effective rate (below the 21% federal statutory + state blend, since some NOL shield likely remains through year 5)."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),base,2028,0.16,"NOT extrapolated from the historical ratio (economically meaningless in pretax-loss years - see FY25's 46% distortion). Modeled instead as a ramp: low cash tax rate while NOL carryforwards offset newly-positive income, rising toward a normalized ~24% effective rate (below the 21% federal statutory + state blend, since some NOL shield likely remains through year 5)."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),base,2029,0.2,"NOT extrapolated from the historical ratio (economically meaningless in pretax-loss years - see FY25's 46% distortion). Modeled instead as a ramp: low cash tax rate while NOL carryforwards offset newly-positive income, rising toward a normalized ~24% effective rate (below the 21% federal statutory + state blend, since some NOL shield likely remains through year 5)."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),base,2030,0.24,"NOT extrapolated from the historical ratio (economically meaningless in pretax-loss years - see FY25's 46% distortion). Modeled instead as a ramp: low cash tax rate while NOL carryforwards offset newly-positive income, rising toward a normalized ~24% effective rate (below the 21% federal statutory + state blend, since some NOL shield likely remains through year 5)."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),best,2026,0.05,"NOLs stretch further / income mix skews to lower-tax jurisdictions, keeping the effective rate below normalized longer."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),best,2027,0.0875,"NOLs stretch further / income mix skews to lower-tax jurisdictions, keeping the effective rate below normalized longer."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),best,2028,0.125,"NOLs stretch further / income mix skews to lower-tax jurisdictions, keeping the effective rate below normalized longer."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),best,2029,0.1625,"NOLs stretch further / income mix skews to lower-tax jurisdictions, keeping the effective rate below normalized longer."
effective_tax_rate_pct,Effective tax rate % (flagged where pretax income <= 0),best,2030,0.2,"NOLs stretch further / income mix skews to lower-tax jurisdictions, keeping the effective rate below normalized longer."
